timestamp,usuario,ip,accion,resultado
1779696060,jgonzalez,192.168.1.45,login,exito
1779696120,jgonzalez,192.168.1.45,descarga,exito
1779696300,mperez,192.168.1.50,login,exito
1779696400,mperez,192.168.1.50,descarga,exito
1779696500,mperez,192.168.1.50,descarga,exito
1779699700,lrodriguez,192.168.2.10,login,exito
1779699800,lrodriguez,192.168.2.10,descarga,exito
1779703200,admin_ti,192.168.0.10,login,exito
1779703400,admin_ti,192.168.0.10,descarga,exito
1779703500,admin_ti,192.168.0.10,descarga,exito
1779706800,cgarcia,192.168.1.55,login,fallo
1779706860,cgarcia,192.168.1.55,login,exito
1779710400,director_sis,192.168.0.11,login,exito
1779710500,director_sis,192.168.0.11,descarga,exito
1779714000,jgonzalez,192.168.1.45,login,exito
1779714100,jgonzalez,192.168.1.45,descarga,exito
1779717600,mperez,192.168.1.50,login,exito
1779721200,lrodriguez,192.168.2.10,login,exito
1779724800,admin_ti,192.168.0.10,login,exito
1779728400,cgarcia,192.168.1.55,login,exito
