timestamp,usuario,ip,accion,resultado
1779703200,jgonzalez,192.168.1.45,login,exito
1779703300,jgonzalez,192.168.1.45,descarga,exito
1779703360,jgonzalez,192.168.1.45,descarga,exito
1779703420,jgonzalez,192.168.1.45,descarga,exito
1779703480,jgonzalez,192.168.1.45,descarga,exito
1779703540,jgonzalez,192.168.1.45,descarga,exito
1779703600,jgonzalez,192.168.1.45,descarga,exito
1779703660,jgonzalez,192.168.1.45,descarga,exito
1779703720,jgonzalez,192.168.1.45,descarga,exito
1779703780,jgonzalez,192.168.1.45,descarga,exito
1779703840,jgonzalez,192.168.1.45,descarga,exito
1779703900,jgonzalez,192.168.1.45,descarga,exito
1779703960,jgonzalez,192.168.1.45,descarga,exito
1779704020,mperez,192.168.1.50,login,exito
1779704080,admin_ti,192.168.0.10,login,exito
