timestamp,usuario,ip,accion,resultado
1779674400,admin_ti,192.168.0.10,login,exito
1779696060,jgonzalez,192.168.1.45,login,exito
1779696120,jgonzalez,192.168.1.45,descarga,exito
1779697800,jgonzalez,192.168.1.45,login,exito
1779699600,mperez,192.168.1.50,login,exito
1779699700,mperez,192.168.1.50,descarga,exito
1779703200,jgonzalez,203.0.113.45,login,fallo
1779703260,jgonzalez,203.0.113.45,login,fallo
1779703320,jgonzalez,203.0.113.45,login,fallo
1779703380,jgonzalez,203.0.113.45,login,fallo
1779703440,jgonzalez,203.0.113.45,login,fallo
1779703500,jgonzalez,203.0.113.45,login,exito
1779703600,admin_ti,198.51.100.7,login,fallo
1779703620,mperez,198.51.100.7,login,fallo
1779703640,lrodriguez,198.51.100.7,login,fallo
1779703660,cgarcia,198.51.100.7,login,fallo
1779703700,scanner_bot,45.33.32.156,login,fallo
1779703720,root,45.33.32.156,login,fallo
1779703740,jgonzalez,91.108.56.179,login,exito
1779703800,respaldo_bd,192.168.1.20,login,exito
1779703820,respaldo_bd,192.168.1.20,descarga,exito
1779703840,monitor_red,192.168.1.21,login,exito
1779703900,lrodriguez,192.168.2.10,login,exito
1779703920,lrodriguez,203.0.113.88,login,exito
1779704000,mperez,192.168.1.50,descarga,exito
1779704060,mperez,192.168.1.50,descarga,exito
1779704120,mperez,192.168.1.50,descarga,exito
1779704180,mperez,192.168.1.50,descarga,exito
1779704240,mperez,192.168.1.50,descarga,exito
1779704300,mperez,192.168.1.50,descarga,exito
1779704360,mperez,192.168.1.50,descarga,exito
1779704420,mperez,192.168.1.50,descarga,exito
1779704480,mperez,192.168.1.50,descarga,exito
1779704540,mperez,192.168.1.50,descarga,exito
1779704600,mperez,192.168.1.50,descarga,exito
1779746400,director_sis,192.168.0.11,login,exito
1779746500,director_sis,192.168.0.11,descarga,exito
1779750000,root,192.168.0.12,login,exito
1779750100,intruso1,203.0.113.77,login,fallo
1779750160,intruso1,203.0.113.77,login,fallo
1779750220,intruso1,203.0.113.77,login,fallo
